category1,category2,showtime,purchaseIndex1688,supplyIndex,crawl_Time
童装,儿童防晒衣/皮肤衣,2019-10-31,185,655,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-01,183,652,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-02,188,650,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-03,179,644,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-04,206,639,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-05,179,632,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-06,201,626,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-07,215,623,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-08,215,618,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-09,216,616,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-10,191,614,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-11,202,607,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-12,213,604,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-13,190,600,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-14,182,592,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-15,184,585,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-16,193,585,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-17,184,584,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-18,134,580,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-19,97,575,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-20,93,572,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-21,109,568,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-22,102,563,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-23,100,561,2019-10-05 15:11:14
童装,儿童防晒衣/皮肤衣,2018-11-24,63,558,2019-10-05 15:11:14
